build_id,ndcg,min_diff_pred,max_diff_pred,avg_diff_pred,stdv_diff_pred
568334975,1.0,0,10,2.6153846153846154,2.7549489268847784
570755878,0.9169170767441914,0,7,2.0,1.8257418583505538
570814567,0.8837640996086165,1,29,9.833333333333334,8.57404721903756
570817138,0.7104980602040507,0,32,9.944444444444445,10.05682268610134
571173535,0.6965154382504545,0,31,9.88888888888889,9.81479285212677
571734323,0.9141981481359206,0,26,4.888888888888889,4.534173591596396
571734935,0.944581784412768,0,20,3.4444444444444446,4.6256702646022445
571827697,0.9584399173169151,0,14,2.526315789473684,3.0820916213582388
571829234,0.9688895208136009,0,29,5.515151515151516,6.960249690749302
572117344,0.8870809308641509,0,11,1.4285714285714286,2.3145502494313788
572118894,0.8839998382896966,0,24,2.5555555555555554,4.338824359823387
572132189,0.8815542860075644,0,10,1.1111111111111112,1.93874447999992
572132481,0.9453025723916237,0,13,2.2777777777777777,2.7734569569516476
572139050,0.8918591981108058,0,30,2.611111111111111,5.156287578025647
572158302,0.8916544846019963,0,30,2.6666666666666665,5.11021386189323
572164834,0.9977294476656882,0,18,1.6666666666666667,3.03315017762062
572166969,0.9989979923061685,0,13,1.6,2.27776980709589
572177292,0.9977426868193202,0,13,1.9444444444444444,2.365761060805887
572180043,0.9813484231364691,0,14,1.7222222222222223,2.4096367374252092
572180209,0.984308629049066,0,10,1.3333333333333333,2.243509156061845
572219491,0.9769273656642381,0,23,4.628571428571429,5.620789740857095
572228782,0.9665334826399647,0,28,5.2,6.720469171296967
572261080,0.9276849004487551,0,14,2.0,3.271085446759225
572266708,0.8985687136557988,0,26,5.142857142857143,6.540115384585923
572270296,0.8881685608208688,0,24,4.685714285714286,5.919913694578706
572274038,0.8708757573447223,0,24,4.457142857142857,5.887888152024995
572274981,0.8692244933301218,0,23,4.685714285714286,5.829798849175565
572569256,0.9006624942138274,0,9,1.0476190476190477,1.9615348703551128
572570072,0.9785629902143583,0,8,1.2571428571428571,1.6331646857424704
572580658,0.9809856509486828,0,11,1.1176470588235294,1.9964317545174524
572641150,0.9890743289375817,0,13,2.057142857142857,2.9299955545324345
572642875,0.9895745086224587,0,11,2.057142857142857,2.754064986448183
572659799,0.994291076747739,0,30,4.882352941176471,7.56693247116511
572661645,0.9460117034163876,0,18,2.9714285714285715,3.974075654906984
572663090,0.9456784482034839,0,29,3.935483870967742,7.558374974692941
